Timestamp,MQ9_RAW,MQ135_RAW,MQ3_RAW,MQ9_V,MQ135_V,MQ3_V,Category
2026-01-29 08:30:00,3564,7232,9688,0.4456,0.9042,1.211,Healthy
2026-01-29 08:30:01,3564,7232,9687,0.4456,0.9041,1.211,Healthy
2026-01-29 08:30:02,3564,7232,9687,0.4456,0.9041,1.211,Healthy
2026-01-29 08:30:03,3564,7233,9687,0.4456,0.9042,1.211,Healthy
2026-01-29 08:30:04,3564,7233,9687,0.4456,0.9042,1.211,Healthy
2026-01-29 08:30:05,3564,7232,9688,0.4456,0.9042,1.2111,Healthy
2026-01-29 08:30:06,3564,7233,9687,0.4456,0.9042,1.211,Healthy
2026-01-29 08:30:07,3564,7233,9687,0.4456,0.9042,1.211,Healthy
2026-01-29 08:30:08,3564,7232,9688,0.4456,0.9041,1.211,Healthy
2026-01-29 08:30:09,3564,7232,9687,0.4456,0.9041,1.211,Healthy
2026-01-29 08:32:00,3564,7232,9688,0.4456,0.9041,1.2111,Healthy
2026-01-29 08:32:01,3564,7232,9687,0.4456,0.9042,1.211,Healthy
2026-01-29 08:32:02,3564,7232,9687,0.4456,0.9041,1.211,Healthy
2026-01-29 08:32:03,3564,7233,9688,0.4456,0.9042,1.2111,Healthy
2026-01-29 08:32:04,3564,7233,9687,0.4456,0.9042,1.211,Healthy
2026-01-29 08:32:05,3563,7233,9687,0.4455,0.9042,1.211,Healthy
2026-01-29 08:32:06,3564,7233,9688,0.4456,0.9042,1.2112,Healthy
2026-01-29 08:32:07,3564,7232,9687,0.4456,0.9041,1.211,Healthy
2026-01-29 08:32:08,3564,7233,9688,0.4456,0.9042,1.2111,Healthy
2026-01-29 08:32:09,3564,7233,9688,0.4455,0.9042,1.2111,Healthy
2026-01-29 08:34:00,3563,7232,9688,0.4455,0.904,1.211,Healthy
2026-01-29 08:34:01,3563,7232,9688,0.4455,0.904,1.211,Healthy
2026-01-29 08:34:02,3564,7232,9688,0.4456,0.9041,1.2111,Healthy
2026-01-29 08:34:03,3564,7233,9688,0.4456,0.9042,1.211,Healthy
2026-01-29 08:34:04,3564,7232,9687,0.4456,0.904,1.211,Healthy
2026-01-29 08:34:05,3564,7233,9688,0.4456,0.9042,1.2111,Healthy
2026-01-29 08:34:06,3564,7232,9687,0.4456,0.9041,1.211,Healthy
2026-01-29 08:34:07,3563,7232,9687,0.4455,0.9042,1.211,Healthy
2026-01-29 08:34:08,3563,7232,9687,0.4455,0.9042,1.211,Healthy
2026-01-29 08:34:09,3564,7232,9687,0.4456,0.9042,1.211,Healthy
2026-01-29 08:36:00,3563,7232,9688,0.4456,0.9042,1.211,Healthy
2026-01-29 08:36:01,3564,7232,9687,0.4456,0.9041,1.211,Healthy
2026-01-29 08:36:02,3564,7232,9687,0.4456,0.9042,1.211,Healthy
2026-01-29 08:36:03,3564,7233,9687,0.4456,0.9042,1.211,Healthy
2026-01-29 08:36:04,3564,7232,9687,0.4456,0.904,1.211,Healthy
2026-01-29 08:36:05,3563,7233,9688,0.4456,0.9042,1.211,Healthy
2026-01-29 08:36:06,3564,7232,9688,0.4456,0.9041,1.211,Healthy
2026-01-29 08:36:07,3564,7233,9687,0.4456,0.9042,1.211,Healthy
2026-01-29 08:36:08,3563,7232,9688,0.4456,0.9041,1.211,Healthy
2026-01-29 08:36:09,3564,7232,9688,0.4456,0.9041,1.211,Healthy
2026-01-29 08:38:00,3565,7233,9687,0.4457,0.9042,1.211,Healthy
2026-01-29 08:38:01,3563,7232,9688,0.4455,0.9042,1.211,Healthy
2026-01-29 08:38:02,3564,7232,9688,0.4456,0.9042,1.211,Healthy
2026-01-29 08:38:03,3563,7233,9688,0.4455,0.9042,1.211,Healthy
2026-01-29 08:38:04,3563,7232,9687,0.4455,0.9041,1.211,Healthy
2026-01-29 08:38:05,3564,7233,9688,0.4456,0.9042,1.211,Healthy
2026-01-29 08:38:06,3564,7232,9687,0.4456,0.9041,1.211,Healthy
2026-01-29 08:38:07,3564,7233,9688,0.4456,0.9042,1.211,Healthy
2026-01-29 08:38:08,3563,7232,9687,0.4455,0.9041,1.211,Healthy
2026-01-29 08:38:09,3564,7232,9687,0.4456,0.9042,1.211,Healthy
2026-01-29 08:40:00,3564,7233,9688,0.4456,0.9042,1.2111,Healthy
2026-01-29 08:40:01,3563,7232,9687,0.4456,0.9042,1.211,Healthy
2026-01-29 08:40:02,3564,7233,9687,0.4456,0.9042,1.211,Healthy
